tag,ts,host,cudart,mode,precision,gpus,M,N,K,iters,warmup,agg_tflops,per_gpu_tflops,pct_peak,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,fp64_tensor,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,h2d_gbps,d2h_gbps,eff_tflops,transfer_pct,engine,density,nnz,status
split,1782461193,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,1,512,512,512,15,3,7.52,7.52,38.56,0.536,1095,1095,1215,56.9,56.9,28,none,0.0,0.003,0,1,5.45e-06,0.378,0.060,0.036,0.474,5.5,17.5,0.57,92.5,dense,1,262144,ok
split,1782461193,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,2,512,512,512,15,3,9.83,4.92,25.21,0.410,1095,1095,1215,57.6,58.7,28,none,0.0,0.002,0,1,9.73e-06,0.151,0.034,0.026,0.210,10.4,15.6,1.28,87.7,dense,1,262144,ok
split,1782461193,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,3,512,512,512,15,3,12.52,4.17,21.41,0.322,1095,1095,1215,57.1,59.1,29,none,0.3,0.002,0,1,9.45e-05,0.618,0.141,0.020,0.779,2.3,2.5,0.34,97.4,dense,1,262144,ok
split,1782461193,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,4,512,512,512,15,3,12.33,3.08,15.80,0.327,1095,1095,1215,56.5,57.0,29,none,1.0,0.002,0,1,0.000471,0.466,0.025,0.021,0.513,2.8,10.4,0.52,95.8,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,1,512,512,512,15,3,2.46,2.46,25.32,1.639,1095,1095,1215,56.6,56.6,28,none,0.0,0.006,0,1,0,0.812,0.796,0.109,1.717,5.2,2.6,0.16,93.6,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,2,512,512,512,15,3,2.49,1.24,12.83,1.618,1095,1095,1215,56.1,56.6,28,none,0.0,0.004,0,1,0,0.747,0.408,0.094,1.249,4.2,2.6,0.21,92.5,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,3,512,512,512,15,3,2.86,0.95,9.84,1.406,1095,1095,1215,56.2,56.6,29,none,1.3,0.003,0,1,0,0.773,0.277,0.093,1.144,3.6,2.5,0.23,91.8,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,4,512,512,512,15,3,2.86,0.71,7.37,1.408,1095,1095,1215,55.7,56.6,29,none,1.0,0.003,0,1,0,0.679,0.396,0.094,1.168,3.9,1.3,0.23,92.0,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,1,512,512,512,15,3,26.21,26.21,8.40,0.154,1095,1095,1215,58.4,58.4,28,none,0.0,0.002,0,1,2.32e-06,0.192,0.066,0.010,0.268,5.5,15.9,1.00,96.2,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,2,512,512,512,15,3,27.12,13.56,4.35,0.148,1095,1095,1215,58.0,58.4,28,none,0.5,0.001,0,1,2.23e-05,0.168,0.075,0.010,0.253,4.7,7.0,1.06,96.1,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,3,512,512,512,15,3,26.57,8.86,2.84,0.152,1095,1095,1215,57.3,58.4,29,none,0.3,0.001,0,1,2.58e-05,0.163,0.143,0.010,0.316,4.3,2.4,0.85,96.9,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,4,512,512,512,15,3,26.04,6.51,2.09,0.155,1095,1095,1215,56.6,58.4,29,none,1.0,0.001,0,1,2.25e-05,0.147,0.214,0.010,0.372,4.4,1.2,0.72,97.2,dense,1,262144,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,1,1024,1024,1024,15,3,12.96,12.96,66.44,2.486,0,0,0,0.0,0.0,0,none,0.0,0.013,0,1,4.64e-05,1.760,0.194,0.166,2.120,4.8,21.6,1.01,92.2,dense,1,1048576,ok
split,1782461194,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,2,1024,1024,1024,15,3,20.49,10.25,52.55,1.572,1095,1095,1215,56.3,57.1,28,none,0.5,0.008,0,1,1.35e-05,0.838,0.102,0.105,1.044,7.5,20.6,2.06,90.0,dense,1,1048576,ok
