tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,agg_tflops,engine,density,nnz,status
split,1789145300,NVIDIA_A30,11050,split,fp32,1,512,15,3,144.91,144.91,9.32,0.109,930,930,1215,33.8,33.8,33,none,13.0,0.001,1,1.12e-05,0.153,0.012,0.007,0.173,95.81,0.07245,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp64,1,512,15,3,202.11,202.11,13.00,0.156,930,930,1215,33.8,33.8,33,none,13.0,0.002,1,0,0.145,0.016,0.010,0.171,93.93,0.05053,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,bf16,1,512,15,3,51.89,51.89,3.34,0.152,930,930,1215,33.8,33.8,33,none,13.0,0.001,1,1.5e-05,0.068,0.014,0.010,0.092,89.05,0.05189,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp32,1,1024,15,3,227.56,227.56,14.63,0.276,930,930,1215,33.8,33.8,33,none,13.0,0.004,1,3.65e-05,0.281,0.013,0.018,0.312,94.09,0.1138,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp64,1,1024,15,3,280.55,280.55,18.04,0.449,930,930,1215,33.8,33.8,33,none,13.0,0.008,1,0,0.528,0.017,0.030,0.576,94.80,0.07014,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,bf16,1,1024,15,3,187.32,187.32,12.05,0.168,930,930,1215,33.8,33.8,33,none,13.0,0.002,1,3.09e-05,0.136,0.016,0.011,0.163,93.13,0.1873,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp32,1,2048,15,3,698.18,698.18,44.90,0.360,930,930,1215,33.8,33.8,33,none,13.0,0.017,1,5.56e-05,1.022,0.014,0.024,1.061,97.73,0.3491,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp64,1,2048,15,3,734.71,734.71,47.25,0.685,930,930,1215,33.8,33.8,33,none,13.0,0.034,1,7.27e-16,1.898,0.014,0.046,1.958,97.67,0.1837,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,bf16,1,2048,15,3,426.67,426.67,27.44,0.295,930,930,1215,34.0,34.0,33,none,13.0,0.008,1,0.000205,0.524,0.011,0.020,0.555,96.46,0.4267,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp32,1,4096,15,3,685.52,685.52,44.09,1.468,930,930,1215,34.3,34.3,33,none,10.0,0.067,0,-1,3.434,0.014,0.098,3.546,97.24,0.3428,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp64,1,4096,15,3,770.41,770.41,49.54,2.613,930,930,1215,33.5,33.5,33,none,10.0,0.134,0,-1,6.418,0.014,0.174,6.606,97.36,0.1926,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,bf16,1,4096,15,3,570.87,570.87,36.71,0.882,930,930,1215,33.5,33.5,33,none,9.0,0.034,0,-1,1.783,0.014,0.059,1.856,96.83,0.5709,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp32,1,8192,15,3,841.10,841.10,54.09,4.787,930,930,1215,33.5,33.5,33,none,0.0,0.269,0,-1,12.665,0.017,0.319,13.001,97.55,0.4206,dense,1,0,ok
split,1789145301,NVIDIA_A30,11050,split,fp64,1,8192,15,3,791.98,791.98,50.93,10.168,930,930,1215,33.4,33.4,33,none,7.0,0.537,0,-1,24.170,0.019,0.678,24.867,97.27,0.198,dense,1,0,ok
split,1789145302,NVIDIA_A30,11050,split,bf16,1,8192,15,3,728.72,728.72,46.86,2.763,930,930,1215,33.4,33.4,33,none,29.0,0.134,0,-1,6.294,0.018,0.184,6.496,97.16,0.7287,dense,1,0,ok
split,1789145304,NVIDIA_A30,11050,split,fp32,1,16384,15,3,852.50,852.50,54.82,18.893,930,930,1215,33.4,33.4,33,none,0.0,1.074,0,-1,48.101,0.019,1.260,49.380,97.45,0.4263,dense,1,0,ok
