tag,ts,host,cudart,mode,precision,gpus,N,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,status
split,1789145450,NVIDIA_A30,11050,split,fp32,1,33554432,20,5,801.58,801.58,51.549,10.046,990,990,1215,33.4,33.4,30,none,10.0,0.403,1,5.79e-08,15.552,7.137,0.502,23.190,97.8,ok
split,1789145451,NVIDIA_A30,11050,split,fp64,1,33554432,20,5,836.41,836.41,53.788,19.256,930,930,1215,32.6,32.6,30,none,6.0,0.805,1,-1,25.911,14.535,0.963,41.409,97.7,ok
split,1789145452,NVIDIA_A30,11050,split,fp32,1,67108864,20,5,799.99,799.99,51.446,20.133,930,930,1215,32.7,32.7,30,none,0.0,0.805,0,-1,26.593,14.228,1.007,41.827,97.6,ok
split,1789145453,NVIDIA_A30,11050,split,fp64,1,67108864,20,5,839.47,839.47,53.985,38.372,930,930,1215,32.8,32.8,30,none,1.0,1.611,0,-1,48.609,25.500,1.919,76.028,97.5,ok
split,1789145455,NVIDIA_A30,11050,split,fp32,1,134217728,20,5,811.74,811.74,52.202,39.683,1125,1125,1215,38.3,38.6,31,none,0.2,1.611,0,-1,47.479,25.296,1.984,74.759,97.3,ok
split,1789145456,NVIDIA_A30,11050,split,fp64,1,134217728,20,5,840.77,840.77,54.069,76.626,930,930,1215,71.4,89.0,31,none,12.4,3.221,0,-1,96.847,50.000,3.831,150.679,97.5,ok
split,1789145461,NVIDIA_A30,11050,split,fp32,1,268435456,20,5,801.86,801.86,51.566,80.344,930,930,1215,34.2,34.2,30,none,11.0,3.221,0,-1,98.031,49.847,4.017,151.895,97.4,ok
split,1789145462,NVIDIA_A30,11050,split,fp64,1,268435456,20,5,818.99,818.99,52.668,157.326,1386,1440,1215,60.4,142.9,32,none,80.7,6.442,0,-1,188.518,98.729,7.866,295.113,97.3,ok
split,1789145473,NVIDIA_A30,11050,split,fp32,1,536870912,20,5,815.15,815.15,52.421,158.069,1430,1440,1215,123.2,171.7,32,sw_pwr,81.0,6.442,0,-1,188.767,98.500,7.903,295.171,97.3,ok
split,1789145475,NVIDIA_A30,11050,split,fp64,1,536870912,20,5,819.14,819.14,52.678,314.594,1440,1440,1215,128.0,143.5,33,none,93.6,12.885,0,-1,362.691,209.696,15.730,588.116,97.3,ok
split,1789145496,NVIDIA_A30,11050,split,fp32,1,1073741824,20,5,815.44,815.44,52.440,316.022,1426,1440,1215,161.1,169.3,33,sw_pwr,100.0,12.885,0,-1,371.495,204.755,15.801,592.051,97.3,ok
split,1789145501,NVIDIA_A30,11050,split,fp64,1,1073741824,20,5,0,0,0,0,0,0,0,0,0,0,none,0,25.770,0,-1.0,0,0,0,0,0,oom-skip
replicas,1789145504,NVIDIA_A30,11050,replicas,fp32,1,33554432,20,5,796.47,796.47,51.220,10.111,930,930,1215,33.3,33.3,31,none,10.0,0.403,0,-1,16.274,7.147,0.506,23.927,97.9,ok
replicas,1789145505,NVIDIA_A30,11050,replicas,fp64,1,33554432,20,5,837.21,837.21,53.840,19.238,930,930,1215,32.8,32.8,30,none,0.0,0.805,0,-1,25.358,14.335,0.962,40.655,97.6,ok
replicas,1789145506,NVIDIA_A30,11050,replicas,fp32,1,67108864,20,5,799.91,799.91,51.441,20.135,930,930,1215,32.9,32.9,30,none,0.0,0.805,0,-1,26.690,14.183,1.007,41.880,97.6,ok
replicas,1789145506,NVIDIA_A30,11050,replicas,fp64,1,67108864,20,5,838.86,838.86,53.946,38.400,930,930,1215,33.0,33.0,31,none,0.7,1.611,0,-1,48.177,26.465,1.920,76.563,97.5,ok
replicas,1789145509,NVIDIA_A30,11050,replicas,fp32,1,134217728,20,5,802.07,802.07,51.580,40.161,1035,1035,1215,34.2,34.2,30,none,0.0,1.611,0,-1,48.657,27.648,2.008,78.314,97.4,ok
replicas,1789145510,NVIDIA_A30,11050,replicas,fp64,1,134217728,20,5,829.13,829.13,53.320,77.701,930,930,1215,34.7,34.7,30,none,2.0,3.221,0,-1,96.589,50.029,3.885,150.503,97.4,ok
replicas,1789145515,NVIDIA_A30,11050,replicas,fp32,1,268435456,20,5,814.96,814.96,52.409,79.053,1135,1350,1215,58.8,87.2,31,none,1.0,3.221,0,-1,97.380,49.891,3.953,151.224,97.4,ok
replicas,1789145516,NVIDIA_A30,11050,replicas,fp64,1,268435456,20,5,827.86,827.86,53.238,155.642,1185,1365,1215,68.6,95.1,31,sw_pwr,34.0,6.442,0,-1,188.737,99.015,7.782,295.534,97.4,ok
replicas,1789145526,NVIDIA_A30,11050,replicas,fp32,1,536870912,20,5,813.05,813.05,52.286,158.475,1098,1410,1215,59.8,110.7,32,sw_pwr,49.1,6.442,0,-1,189.414,98.488,7.924,295.826,97.3,ok
replicas,1789145529,NVIDIA_A30,11050,replicas,fp64,1,536870912,20,5,819.08,819.08,52.674,314.618,1440,1440,1215,140.6,144.1,33,none,100.0,12.885,0,-1,368.930,216.428,15.731,601.089,97.4,ok
replicas,1789145549,NVIDIA_A30,11050,replicas,fp32,1,1073741824,20,5,815.36,815.36,52.435,316.055,1425,1425,1215,159.8,169.5,34,sw_pwr,96.7,12.885,0,-1,368.247,216.105,15.803,600.155,97.4,ok
replicas,1789145554,NVIDIA_A30,11050,replicas,fp64,1,1073741824,20,5,0,0,0,0,0,0,0,0,0,0,none,0,25.770,0,-1.0,0,0,0,0,0,oom-skip
