tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_tflops,per_gpu_tflops,agg_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,symbolic_ms,e2e_ms,density_a,nnz_a,density_b,nnz_b,nnz_c,flops_theoretical,status
split,1789145557,NVIDIA_A30,11050,split,fp32,1,512,10,3,0.000,0.000,0.633,0.041,2.331,930,930,1215,33.3,33.3,31,none,12.0,0.000,1,-1,0.034,0.000,0.233,0.449,0.267,0.010,2560,0.010,2560,12550,268435.456,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,512,10,3,0.000,0.000,0.885,0.057,2.466,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.052,0.000,0.247,0.359,0.299,0.010,2560,0.010,2560,12550,268435.456,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,512,10,3,0.002,0.002,5.203,0.335,3.359,930,930,1215,33.3,33.3,31,none,12.0,0.000,1,-1,0.054,0.000,0.336,0.487,0.390,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,512,10,3,0.002,0.002,8.011,0.515,3.269,930,930,1215,33.3,33.3,31,none,12.0,0.000,1,-1,0.067,0.000,0.327,0.580,0.394,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,512,10,3,0.006,0.006,5.537,0.356,4.521,930,930,1215,33.3,33.3,31,none,12.0,0.001,1,-1,0.097,0.000,0.452,0.749,0.549,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,512,10,3,0.006,0.006,8.337,0.536,4.500,930,930,1215,33.3,33.3,31,none,12.0,0.001,1,-1,0.104,0.000,0.450,0.663,0.554,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,512,10,3,0.013,0.013,2.436,0.157,12.938,930,930,1215,33.3,33.3,31,none,12.0,0.002,1,-1,0.170,0.000,1.294,1.516,1.464,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,512,10,3,0.011,0.011,3.116,0.200,15.163,930,930,1215,33.3,33.3,31,none,12.0,0.002,1,-1,2.202,0.000,1.516,1.858,3.718,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,512,10,3,0.018,0.018,1.144,0.074,36.721,930,930,1215,36.2,36.2,31,none,12.0,0.003,1,-1,0.321,0.000,3.672,4.827,3.993,0.500,131072,0.500,131072,262144,671088640.000,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,512,10,3,0.015,0.015,1.395,0.090,45.153,1159,1170,1215,61.7,64.3,31,none,44.8,0.005,1,-1,2.327,0.000,4.515,5.669,6.842,0.500,131072,0.500,131072,262144,671088640.000,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,1024,10,3,0.001,0.001,3.540,0.228,2.713,1170,1170,1215,64.3,64.3,31,none,50.0,0.000,1,-1,0.052,0.000,0.271,1.164,0.323,0.010,10240,0.010,10240,98013,2147483.648,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,1024,10,3,0.001,0.001,5.372,0.345,2.670,1170,1170,1215,64.3,64.3,31,none,50.0,0.000,1,-1,2.076,0.000,0.267,1.330,2.343,0.010,10240,0.010,10240,98013,2147483.648,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,1024,10,3,0.007,0.007,10.484,0.674,8.197,1170,1170,1215,64.3,64.3,31,none,50.0,0.001,1,-1,2.104,0.000,0.820,1.896,2.923,0.050,52224,0.050,52224,968264,53687091.200,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,1024,10,3,0.007,0.007,16.580,1.066,7.771,1170,1170,1215,86.5,93.9,31,none,50.0,0.002,1,-1,0.159,0.000,0.777,0.972,0.936,0.050,52224,0.050,52224,968264,53687091.200,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,1024,10,3,0.014,0.014,6.596,0.424,15.220,1170,1170,1215,93.9,93.9,31,none,50.0,0.003,1,-1,0.218,0.000,1.522,2.007,1.740,0.100,104448,0.100,104448,1044458,214748364.800,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,1024,10,3,0.012,0.012,8.740,0.562,17.223,1170,1170,1215,93.9,93.9,31,none,50.0,0.004,1,-1,0.327,0.000,1.722,2.223,2.050,0.100,104448,0.100,104448,1044458,214748364.800,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,1024,10,3,0.017,0.017,1.609,0.103,78.266,1440,1440,1215,77.1,139.3,34,none,93.0,0.006,1,-1,0.528,0.000,7.827,8.133,8.355,0.250,262144,0.250,262144,1048576,1342177280.000,ok
split,1789145558,NVIDIA_A30,11050,split,fp64,1,1024,10,3,0.014,0.014,1.958,0.126,96.455,1440,1440,1215,99.2,139.3,34,none,90.4,0.009,1,-1,2.538,0.000,9.645,10.953,12.184,0.250,262144,0.250,262144,1048576,1342177280.000,ok
split,1789145558,NVIDIA_A30,11050,split,fp32,1,1024,10,3,0.017,0.017,0.522,0.034,321.355,1440,1440,1215,141.9,154.6,35,none,98.5,0.013,1,-1,4.702,0.000,32.135,33.258,36.837,0.500,524288,0.500,524288,1048576,5368709120.000,ok
