tag,ts,host,cudart,mode,precision,gpus,M,N,K,iters,warmup,agg_tflops,per_gpu_tflops,pct_peak,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,fp64_tensor,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,h2d_gbps,d2h_gbps,eff_tflops,transfer_pct,engine,density,nnz,status
split,1785158782,NVIDIA_L40S,12080,split,fp32,1,512,512,512,15,3,19.23,19.23,98.62,0.209,2520,2520,9001,42.3,42.3,32,none,0.0,0.003,0,1,5.45e-06,0.096,0.050,0.014,0.160,21.9,21.0,1.681,91.3,dense,1,262144,ok
split,1785158782,NVIDIA_L40S,12080,split,fp32,2,512,512,512,15,3,23.92,11.96,61.34,0.168,0,0,0,0.0,0.0,0,none,0.0,0.002,0,1,2.2e-05,0.072,0.028,0.011,0.111,21.7,18.9,2.410,89.9,dense,1,262144,ok
split,1785158783,NVIDIA_L40S,12080,split,fp64,1,512,512,512,15,3,1.23,1.23,12.64,3.283,2520,2520,9001,45.6,45.6,32,none,1.0,0.006,0,1,0,0.176,0.084,0.219,0.479,23.8,24.8,0.560,54.3,dense,1,262144,ok
split,1785158783,NVIDIA_L40S,12080,split,fp64,2,512,512,512,15,3,1.22,0.61,6.31,3.288,0,0,0,0.0,0.0,0,none,0.0,0.004,0,1,0,0.133,0.049,0.219,0.401,23.6,21.5,0.669,45.4,dense,1,262144,ok
split,1785158783,NVIDIA_L40S,12080,split,bf16,1,512,512,512,15,3,49.95,49.95,16.01,0.081,2520,2520,9001,45.6,45.6,32,none,1.0,0.002,0,1,3.3e-06,0.051,0.049,0.005,0.105,20.7,21.6,2.566,94.9,dense,1,262144,ok
split,1785158783,NVIDIA_L40S,12080,split,bf16,2,512,512,512,15,3,47.00,23.50,7.53,0.086,0,0,0,0.0,0.0,0,none,0.0,0.001,0,1,1.14e-05,0.041,0.027,0.006,0.074,19.1,19.6,3.640,92.3,dense,1,262144,ok
split,1785158783,NVIDIA_L40S,12080,split,fp32,1,1024,1024,1024,15,3,30.59,30.59,156.86,1.053,2520,2520,9001,48.6,48.6,32,none,1.0,0.013,0,1,1.73e-05,0.344,0.168,0.070,0.582,24.4,25.0,3.691,87.9,dense,1,1048576,ok
split,1785158783,NVIDIA_L40S,12080,split,fp32,2,1024,1024,1024,15,3,46.31,23.15,118.73,0.696,0,0,0,0.0,0.0,0,none,0.0,0.008,0,1,1.81e-05,0.260,0.088,0.046,0.395,24.2,23.7,5.432,88.3,dense,1,1048576,ok
split,1785158783,NVIDIA_L40S,12080,split,fp64,1,1024,1024,1024,15,3,1.28,1.28,13.15,25.245,2520,2520,9001,48.6,48.6,33,none,1.0,0.025,0,1,0,0.680,0.324,1.683,2.687,24.7,25.9,0.799,37.4,dense,1,1048576,ok
split,1785158783,NVIDIA_L40S,12080,split,fp64,2,1024,1024,1024,15,3,2.54,1.27,13.09,12.688,2520,2520,9001,48.6,48.6,33,none,1.0,0.017,0,1,0,0.510,0.167,0.845,1.522,24.7,25.1,1.411,44.5,dense,1,1048576,ok
