tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,agg_tflops,engine,density,nnz,status
split,1785165293,NVIDIA_L40S,12080,split,fp32,1,512,15,3,220.51,220.51,14.18,0.071,2520,2520,9001,77.4,77.4,42,none,2.0,0.001,1,1.67e-05,0.059,0.014,0.005,0.078,93.89,0.1103,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,fp32,2,512,15,3,199.16,99.58,6.40,0.079,0,0,0,0.0,0.0,0,none,0.0,0.001,1,2.52e-05,0.030,0.008,0.005,0.044,88.02,0.09958,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,fp64,1,512,15,3,502.58,502.58,32.32,0.063,2520,2520,9001,77.1,77.1,42,none,2.0,0.002,1,0,0.092,0.007,0.004,0.104,95.99,0.1256,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,fp64,2,512,15,3,382.80,191.40,12.31,0.082,0,0,0,0.0,0.0,0,none,0.0,0.001,1,0,0.052,0.080,0.005,0.137,96.01,0.0957,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,bf16,1,512,15,3,132.13,132.13,8.50,0.060,2520,2520,9001,76.9,76.9,42,none,0.0,0.001,1,8.11e-06,0.031,0.008,0.004,0.043,90.80,0.1321,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,bf16,2,512,15,3,81.00,40.50,2.60,0.097,2520,2520,9001,76.9,76.9,42,none,0.0,0.000,1,4.65e-05,0.019,0.007,0.006,0.033,80.37,0.081,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,fp32,1,1024,15,3,1063.32,1063.32,68.38,0.059,2520,2520,9001,76.9,76.9,42,none,0.0,0.004,1,5.62e-05,0.176,0.008,0.004,0.188,97.90,0.5317,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,fp32,2,1024,15,3,760.57,380.29,24.46,0.083,0,0,0,0.0,0.0,0,none,0.0,0.002,1,0.00029,0.091,0.011,0.005,0.107,94.97,0.3803,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,fp64,1,1024,15,3,1143.40,1143.40,73.53,0.110,2520,2520,9001,76.9,76.9,42,none,0.0,0.008,1,0,0.345,0.007,0.007,0.359,97.96,0.2859,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,fp64,2,1024,15,3,1227.27,613.63,39.46,0.103,0,0,0,0.0,0.0,0,none,0.0,0.004,1,0,0.177,0.083,0.007,0.267,97.44,0.3068,dense,1,0,ok
split,1785165293,NVIDIA_L40S,12080,split,bf16,1,1024,15,3,553.20,553.20,35.58,0.057,2520,2520,9001,76.9,76.9,42,none,0.0,0.002,1,3.09e-05,0.092,0.007,0.004,0.103,96.31,0.5532,dense,1,0,ok
