tag,ts,host,cudart,mode,precision,gpus,N,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,status
split,1785165481,NVIDIA_L40S,12080,split,fp32,1,33554432,20,5,767.85,767.85,49.379,10.488,2520,2520,9001,74.4,74.4,40,none,0.0,0.403,1,5.79e-08,10.766,5.304,0.524,16.594,96.8,ok
split,1785165481,NVIDIA_L40S,12080,split,fp32,2,33554432,20,5,1579.41,789.70,50.785,5.099,0,0,0,0.0,0.0,0,none,0.0,0.201,1,5.93e-08,5.343,3.206,0.255,8.804,97.1,ok
split,1785165481,NVIDIA_L40S,12080,split,fp64,1,33554432,20,5,765.15,765.15,49.206,21.050,2520,2520,9001,95.9,95.9,40,none,0.0,0.805,1,-1,21.494,10.596,1.052,33.142,96.8,ok
split,1785165481,NVIDIA_L40S,12080,split,fp64,2,33554432,20,5,1538.42,769.21,49.467,10.469,0,0,0,0.0,0.0,0,none,0.0,0.403,1,933,10.676,6.347,0.523,17.547,97.0,ok
split,1785165482,NVIDIA_L40S,12080,split,fp32,1,67108864,20,5,765.28,765.28,49.214,21.046,2520,2520,9001,105.5,105.5,40,none,0.0,0.805,0,-1,21.501,10.591,1.052,33.144,96.8,ok
split,1785165482,NVIDIA_L40S,12080,split,fp32,2,67108864,20,5,1534.63,767.31,49.345,10.495,0,0,0,0.0,0.0,0,none,0.0,0.403,0,-1,11.480,6.384,0.524,18.387,97.2,ok
split,1785165482,NVIDIA_L40S,12080,split,fp64,1,67108864,20,5,760.62,760.62,48.914,42.350,2520,2520,9001,110.2,110.2,40,none,51.0,1.611,0,-1,42.980,20.777,2.118,65.874,96.8,ok
split,1785165483,NVIDIA_L40S,12080,split,fp64,2,67108864,20,5,1533.14,766.57,49.297,21.011,2520,2520,9001,99.0,104.0,40,none,1.0,0.805,0,-1,21.494,12.717,1.051,35.262,97.0,ok
split,1785165485,NVIDIA_L40S,12080,split,fp32,1,134217728,20,5,760.74,760.74,48.922,42.343,2520,2520,9001,101.3,101.3,40,none,0.0,1.611,0,-1,42.988,21.028,2.117,66.133,96.8,ok
split,1785165485,NVIDIA_L40S,12080,split,fp32,2,134217728,20,5,1531.17,765.58,49.234,21.038,2520,2520,9001,102.2,110.4,40,none,14.5,0.805,0,-1,32.249,10.640,1.052,43.941,97.6,ok
split,1785165485,NVIDIA_L40S,12080,split,fp64,1,134217728,20,5,762.65,762.65,49.045,84.474,2520,2520,9001,110.5,110.7,40,none,50.0,3.221,0,-1,85.957,41.182,4.224,131.363,96.8,ok
split,1785165487,NVIDIA_L40S,12080,split,fp64,2,134217728,20,5,1521.71,760.86,48.930,42.337,2520,2520,9001,98.0,100.5,41,none,19.4,1.611,0,-1,42.681,24.503,2.113,69.297,97.0,ok
split,1785165490,NVIDIA_L40S,12080,split,fp32,1,268435456,20,5,763.86,763.86,49.123,84.341,2520,2520,9001,101.1,101.2,40,none,50.0,3.221,0,-1,85.959,41.668,4.217,131.845,96.8,ok
split,1785165490,NVIDIA_L40S,12080,split,fp32,2,268435456,20,5,1524.29,762.14,49.013,42.265,2520,2520,9001,105.8,115.0,40,none,23.5,1.611,0,-1,72.744,21.098,2.104,95.946,97.8,ok
split,1785165491,NVIDIA_L40S,12080,split,fp64,1,268435456,20,5,759.91,759.91,48.869,169.559,2520,2520,9001,106.9,112.9,41,none,100.0,6.442,0,-1,171.895,81.766,8.478,262.138,96.8,ok
split,1785165494,NVIDIA_L40S,12080,split,fp64,2,268435456,20,5,1521.30,760.65,48.917,84.696,2520,2520,9001,99.8,105.7,41,none,12.8,3.221,0,-1,85.943,48.813,4.227,138.983,97.0,ok
split,1785165500,NVIDIA_L40S,12080,split,fp32,1,536870912,20,5,760.15,760.15,48.884,169.504,2520,2520,9001,102.9,110.8,41,none,100.0,6.442,0,-1,171.893,82.176,8.475,262.544,96.8,ok
split,1785165501,NVIDIA_L40S,12080,split,fp32,2,536870912,20,5,1528.39,764.20,49.144,84.304,2520,2520,9001,111.6,131.0,41,none,50.6,3.221,0,-1,154.782,41.500,4.214,200.495,97.9,ok
split,1785165502,NVIDIA_L40S,12080,split,fp64,1,536870912,20,5,760.79,760.79,48.925,338.724,2520,2520,9001,117.4,138.3,42,none,100.0,12.885,0,-1,343.761,162.779,16.936,523.476,96.8,ok
split,1785165507,NVIDIA_L40S,12080,split,fp64,2,536870912,20,5,1521.35,760.68,48.918,169.388,2520,2520,9001,111.4,129.8,42,none,100.0,6.442,0,-1,171.895,81.835,8.461,262.192,96.8,ok
split,1785165519,NVIDIA_L40S,12080,split,fp32,1,1073741824,20,5,763.20,763.20,49.080,337.654,2520,2520,9001,133.4,153.3,43,none,100.0,12.885,0,-1,343.760,163.393,16.883,524.035,96.8,ok
