tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_tflops,per_gpu_tflops,agg_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,symbolic_ms,e2e_ms,density_a,nnz_a,density_b,nnz_b,nnz_c,flops_theoretical,status
split,1785165623,NVIDIA_L40S,12080,split,fp32,1,512,10,3,0.000,0.000,1.295,0.083,1.140,2520,2520,9001,100.4,100.4,40,none,0.0,0.000,1,-1,0.042,0.000,0.114,74.394,0.156,0.010,2560,0.010,2560,12550,268435.456,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,2,512,10,3,0.000,0.000,1.486,0.048,1.145,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.023,0.000,0.112,0.328,0.134,0.010,2560,0.010,2560,12550,268435.456,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,1,512,10,3,0.000,0.000,1.930,0.124,1.130,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.024,0.000,0.113,0.247,0.137,0.010,2560,0.010,2560,12550,268435.456,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,2,512,10,3,0.000,0.000,2.215,0.071,1.133,2520,2520,9001,100.4,100.4,40,none,0.0,0.000,1,-1,0.017,0.000,0.113,0.260,0.130,0.010,2560,0.010,2560,12550,268435.456,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,1,512,10,3,0.004,0.004,10.872,0.699,1.607,2520,2520,9001,100.4,100.4,40,none,0.0,0.000,1,-1,0.046,0.000,0.161,0.234,0.206,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,2,512,10,3,0.004,0.002,11.752,0.378,1.579,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.045,0.000,0.158,0.218,0.203,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,1,512,10,3,0.004,0.004,16.101,1.035,1.626,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.051,0.000,0.163,0.248,0.214,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,2,512,10,3,0.004,0.002,18.548,0.596,1.499,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.045,0.000,0.150,0.225,0.195,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,1,512,10,3,0.014,0.014,13.274,0.854,1.886,2520,2520,9001,100.4,100.4,40,none,0.0,0.001,1,-1,0.050,0.000,0.189,0.417,0.239,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,2,512,10,3,0.019,0.010,19.262,0.619,1.409,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.061,0.000,0.141,0.213,0.202,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,1,512,10,3,0.014,0.014,19.859,1.277,1.889,0,0,0,0.0,0.0,0,none,0.0,0.001,1,-1,0.059,0.000,0.189,0.410,0.248,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,2,512,10,3,0.019,0.009,28.192,0.907,1.443,0,0,0,0.0,0.0,0,none,0.0,0.001,1,-1,0.057,0.000,0.140,0.224,0.197,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,1,512,10,3,0.038,0.038,7.229,0.465,4.360,2520,2520,9001,100.4,100.4,40,none,0.0,0.002,1,-1,0.093,0.000,0.436,0.546,0.529,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,2,512,10,3,0.065,0.032,14.216,0.457,2.587,0,0,0,0.0,0.0,0,none,0.0,0.001,1,-1,0.675,0.000,0.258,0.416,0.933,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,1,512,10,3,0.033,0.033,9.198,0.591,5.137,2520,2520,9001,100.4,100.4,40,none,0.0,0.002,1,-1,0.109,0.000,0.514,0.617,0.623,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,2,512,10,3,0.056,0.028,18.270,0.587,3.018,0,0,0,0.0,0.0,0,none,0.0,0.002,1,-1,0.083,0.000,0.302,0.408,0.385,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,1,512,10,3,0.039,0.039,2.455,0.158,17.107,2520,2520,9001,100.4,100.4,40,none,0.0,0.003,1,-1,0.185,0.000,1.711,1.806,1.895,0.500,131072,0.500,131072,262144,671088640.000,ok
split,1785165623,NVIDIA_L40S,12080,split,fp32,2,512,10,3,0.080,0.040,6.266,0.201,8.380,0,0,0,0.0,0.0,0,none,0.0,0.002,1,-1,2.138,0.000,0.838,2.963,2.976,0.500,131072,0.500,131072,262144,671088640.000,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,1,512,10,3,0.024,0.024,2.251,0.145,27.977,2520,2520,9001,107.1,107.7,40,none,10.5,0.005,1,-1,0.330,0.000,2.798,2.919,3.128,0.500,131072,0.500,131072,262144,671088640.000,ok
split,1785165623,NVIDIA_L40S,12080,split,fp64,2,512,10,3,0.048,0.024,5.678,0.183,13.864,0,0,0,0.0,0.0,0,none,0.0,0.004,1,-1,2.190,0.000,1.386,3.549,3.576,0.500,131072,0.500,131072,262144,671088640.000,ok
split,1785165624,NVIDIA_L40S,12080,split,fp32,1,1024,10,3,0.002,0.002,8.345,0.537,1.151,2520,2520,9001,107.7,107.7,43,none,49.0,0.000,1,-1,0.035,0.000,0.115,1.087,0.150,0.010,10240,0.010,10240,98013,2147483.648,ok
