tag,ts,host,cudart,mode,precision,gpus,M,N,K,iters,warmup,agg_tflops,per_gpu_tflops,pct_peak,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,fp64_tensor,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,h2d_gbps,d2h_gbps,eff_tflops,transfer_pct,engine,density,nnz,status
split,1788873163,Tesla_P100-PCIE-12GB,11050,split,fp32,1,512,512,512,15,3,4.93,4.93,25.31,0.816,1189,1189,715,36.7,36.7,26,none,3.0,0.003,0,1,3.4e-06,0.418,0.127,0.054,0.599,5.0,8.3,0.448,90.9,dense,1,262144,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,fp64,1,512,512,512,15,3,1.77,1.77,18.30,2.269,0,0,0,0.0,0.0,0,none,0.0,0.006,0,1,0,0.790,0.197,0.151,1.138,5.3,10.7,0.236,86.7,dense,1,262144,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,bf16,1,512,512,512,15,3,2.75,2.75,0.88,1.466,0,0,0,0.0,0.0,0,none,0.0,0.002,0,1,2e-06,0.118,0.104,0.098,0.320,8.9,10.0,0.839,69.5,dense,1,262144,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,fp32,1,1024,1024,1024,15,3,5.46,5.46,28.00,5.900,1189,1189,715,46.2,46.2,26,none,4.0,0.013,0,1,1.87e-05,0.730,0.354,0.393,1.477,11.5,11.9,1.454,73.4,dense,1,1048576,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,fp64,1,1024,1024,1024,15,3,2.66,2.66,27.44,12.104,1189,1189,715,90.3,90.3,27,none,4.0,0.025,0,1,0,2.140,0.688,0.807,3.635,7.8,12.2,0.591,77.8,dense,1,1048576,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,bf16,1,1024,1024,1024,15,3,3.93,3.93,1.26,8.206,0,0,0,0.0,0.0,0,none,0.0,0.008,0,1,1.33e-05,0.364,0.361,0.547,1.272,11.5,11.6,1.688,57.0,dense,1,1048576,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,fp32,1,2048,2048,2048,15,3,6.88,6.88,35.26,37.482,1189,1189,715,105.7,124.5,27,none,31.0,0.050,0,1,9.37e-05,4.452,1.419,2.499,8.370,7.5,11.8,2.052,70.1,dense,1,4194304,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,fp64,1,2048,2048,2048,15,3,3.16,3.16,32.61,81.457,1267,1316,715,156.4,178.2,28,none,50.6,0.101,0,1,0,6.429,2.790,5.430,14.649,10.4,12.0,1.173,62.9,dense,1,4194304,ok
split,1788873165,Tesla_P100-PCIE-12GB,11050,split,bf16,1,2048,2048,2048,15,3,5.61,5.61,1.80,45.966,1316,1316,715,162.2,176.8,29,none,63.0,0.034,0,1,1.74e-05,2.101,1.449,3.064,6.615,8.0,11.6,2.597,53.7,dense,1,4194304,ok
split,1788873166,Tesla_P100-PCIE-12GB,11050,split,fp32,1,4096,4096,4096,15,3,8.25,8.25,42.32,249.805,1328,1328,715,181.6,188.6,30,none,59.1,0.201,0,0,-1,12.792,5.632,16.654,35.078,10.5,11.9,3.918,52.5,dense,1,16777216,ok
split,1788873166,Tesla_P100-PCIE-12GB,11050,split,fp64,1,4096,4096,4096,15,3,2.92,2.92,30.12,705.635,1328,1328,715,194.1,203.9,32,none,98.7,0.403,0,0,-1,21.848,11.207,47.042,80.097,12.3,12.0,1.716,41.3,dense,1,16777216,ok
split,1788873167,Tesla_P100-PCIE-12GB,11050,split,bf16,1,4096,4096,4096,15,3,6.08,6.08,1.95,339.145,1328,1328,715,206.9,211.2,33,none,97.1,0.134,0,0,-1,5.964,5.629,22.610,34.202,11.3,11.9,4.018,33.9,dense,1,16777216,ok
split,1788873169,Tesla_P100-PCIE-12GB,11050,split,fp32,1,8192,8192,8192,15,3,8.57,8.57,43.94,1924.671,1328,1328,715,198.2,204.4,35,none,100.0,0.805,0,0,-1,44.977,22.425,128.311,195.713,11.9,12.0,5.618,34.4,dense,1,67108864,ok
split,1788873171,Tesla_P100-PCIE-12GB,11050,split,fp64,1,8192,8192,8192,15,3,2.89,2.89,29.82,5702.487,1328,1328,715,201.6,204.9,39,none,100.0,1.611,0,0,-1,87.984,44.773,380.166,512.923,12.2,12.0,2.144,25.9,dense,1,67108864,ok
split,1788873178,Tesla_P100-PCIE-12GB,11050,split,bf16,1,8192,8192,8192,15,3,6.25,6.25,2.00,2638.032,1328,1328,715,221.3,224.9,41,none,100.0,0.537,0,0,-1,22.066,22.452,175.869,220.387,12.2,12.0,4.989,20.2,dense,1,67108864,ok
split,1788873187,Tesla_P100-PCIE-12GB,11050,split,fp32,1,16384,16384,16384,15,3,8.50,8.50,43.61,15513.857,1328,1328,715,211.5,215.7,49,none,100.0,3.221,0,0,-1,175.373,89.572,1034.257,1299.203,12.2,12.0,6.770,20.4,dense,1,268435456,ok
split,1788873206,Tesla_P100-PCIE-12GB,11050,split,fp64,1,16384,16384,16384,15,3,2.72,2.72,28.06,48471.672,1328,1328,715,208.2,219.8,65,none,100.0,6.442,0,0,-1,349.389,179.012,3231.445,3759.846,12.3,12.0,2.339,14.1,dense,1,268435456,ok
split,1788873265,Tesla_P100-PCIE-12GB,11050,split,bf16,1,16384,16384,16384,15,3,6.25,6.25,2.00,21120.965,1321,1328,715,240.3,248.9,74,sw_pwr,100.0,2.147,0,0,-1,143.849,89.525,1408.064,1641.439,7.5,12.0,5.359,14.2,dense,1,268435456,ok
split,1788873313,Tesla_P100-PCIE-12GB,11050,split,fp32,1,32768,32768,32768,15,3,0,0,0,0,0,0,0,0,0,0,none,0,12.885,0,0,-1,0,0,0,0,0,0,0,0,dense,1,1073741824,oom-skip
split,1788873313,Tesla_P100-PCIE-12GB,11050,split,fp64,1,32768,32768,32768,15,3,0,0,0,0,0,0,0,0,0,0,none,0,25.770,0,0,-1,0,0,0,0,0,0,0,0,dense,1,1073741824,oom-skip
split,1788873313,Tesla_P100-PCIE-12GB,11050,split,bf16,1,32768,32768,32768,15,3,6.24,6.24,2.00,169197.812,1320,1328,715,243.6,249.0,76,sw_pwr,100.0,8.590,0,0,-1,348.999,357.945,11279.854,11986.798,12.3,12.0,5.871,5.9,dense,1,1073741824,ok
split,1788873614,Tesla_P100-PCIE-12GB,11050,split,fp32,1,65536,65536,65536,15,3,0,0,0,0,0,0,0,0,0,0,none,0,51.540,0,0,-1,0,0,0,0,0,0,0,0,dense,1,4294967296,oom-skip
split,1788873614,Tesla_P100-PCIE-12GB,11050,split,fp64,1,65536,65536,65536,15,3,0,0,0,0,0,0,0,0,0,0,none,0,103.079,0,0,-1,0,0,0,0,0,0,0,0,dense,1,4294967296,oom-skip
split,1788873614,Tesla_P100-PCIE-12GB,11050,split,bf16,1,65536,65536,65536,15,3,0,0,0,0,0,0,0,0,0,0,none,0,34.360,0,0,-1,0,0,0,0,0,0,0,0,dense,1,4294967296,oom-skip
replicas,1788873641,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,512,512,512,15,3,5.02,5.02,25.77,0.801,1189,1189,715,37.2,37.2,30,none,8.0,0.003,0,0,-1,0.390,0.109,0.053,0.552,5.4,9.6,0.486,90.3,dense,1,262144,ok
replicas,1788873642,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,512,512,512,15,3,1.77,1.77,18.21,2.279,0,0,0,0.0,0.0,0,none,0.0,0.006,0,0,-1,0.854,0.196,0.152,1.202,4.9,10.7,0.223,87.4,dense,1,262144,ok
replicas,1788873642,Tesla_P100-PCIE-12GB,11050,replicas,bf16,1,512,512,512,15,3,2.71,2.71,0.87,1.488,0,0,0,0.0,0.0,0,none,0.0,0.002,0,0,-1,0.167,0.108,0.099,0.375,6.3,9.7,0.716,73.5,dense,1,262144,ok
replicas,1788873642,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,1024,1024,1024,15,3,5.51,5.51,28.24,5.850,1189,1189,715,46.9,46.9,30,none,13.0,0.013,0,0,-1,0.704,0.336,0.390,1.430,11.9,12.5,1.502,72.7,dense,1,1048576,ok
replicas,1788873642,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,1024,1024,1024,15,3,2.63,2.63,27.16,12.226,1189,1189,715,105.9,105.9,30,none,13.0,0.025,0,0,-1,2.106,0.682,0.815,3.603,8.0,12.3,0.596,77.4,dense,1,1048576,ok
replicas,1788873642,Tesla_P100-PCIE-12GB,11050,replicas,bf16,1,1024,1024,1024,15,3,3.92,3.92,1.26,8.213,0,0,0,0.0,0.0,0,none,0.0,0.008,0,0,-1,0.359,0.360,0.548,1.267,11.7,11.7,1.695,56.8,dense,1,1048576,ok
