tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,agg_tflops,engine,density,nnz,status
split,1788874355,Tesla_P100-PCIE-12GB,11050,split,fp32,1,512,15,3,121.36,121.36,7.80,0.130,1328,1328,715,36.7,36.7,38,none,7.0,0.001,1,1.67e-05,0.144,0.026,0.009,0.179,95.16,0.06068,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,fp64,1,512,15,3,191.33,191.33,12.30,0.164,1328,1328,715,36.7,36.7,38,none,7.0,0.002,1,0,0.220,0.012,0.011,0.242,95.47,0.04783,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,bf16,1,512,15,3,21.15,21.15,1.36,0.372,1328,1328,715,36.7,36.7,38,none,6.0,0.001,1,7.89e-06,0.089,0.024,0.025,0.138,82.05,0.02115,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,fp32,1,1024,15,3,170.52,170.52,10.97,0.369,1328,1328,715,37.4,37.4,38,none,6.0,0.004,1,2.52e-05,0.368,0.022,0.025,0.415,94.07,0.08526,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,fp64,1,1024,15,3,318.99,318.99,20.51,0.394,1328,1328,715,38.1,38.1,38,none,6.0,0.008,1,0,0.732,0.024,0.026,0.782,96.64,0.07975,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,bf16,1,1024,15,3,85.13,85.13,5.47,0.370,1328,1328,715,37.2,37.2,38,none,6.0,0.002,1,8.34e-05,0.213,0.023,0.025,0.261,90.55,0.08513,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,fp32,1,2048,15,3,367.08,367.08,23.61,0.686,1328,1328,715,40.0,40.0,38,none,6.0,0.017,1,4.98e-06,1.412,0.022,0.046,1.479,96.91,0.1835,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,fp64,1,2048,15,3,410.66,410.66,26.41,1.226,1328,1328,715,42.7,42.7,38,none,5.0,0.034,1,6.18e-16,2.762,0.025,0.082,2.869,97.15,0.1027,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,bf16,1,2048,15,3,259.65,259.65,16.70,0.485,1328,1328,715,39.3,39.3,38,none,5.0,0.008,1,2.45e-05,0.711,0.023,0.032,0.767,95.79,0.2597,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,fp32,1,4096,15,3,369.38,369.38,23.75,2.725,1328,1328,715,46.0,46.0,38,none,5.0,0.067,0,-1,5.485,0.022,0.182,5.689,96.81,0.1847,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,fp64,1,4096,15,3,403.81,403.81,25.97,4.986,1328,1328,715,50.0,50.0,38,none,5.0,0.134,0,-1,10.928,0.024,0.332,11.284,97.05,0.101,dense,1,0,ok
split,1788874356,Tesla_P100-PCIE-12GB,11050,split,bf16,1,4096,15,3,273.99,273.99,17.62,1.837,1328,1328,715,47.2,47.2,38,none,20.0,0.034,0,-1,2.759,0.022,0.122,2.904,95.78,0.274,dense,1,0,ok
split,1788874357,Tesla_P100-PCIE-12GB,11050,split,fp32,1,8192,15,3,319.66,319.66,20.56,12.596,1328,1328,715,63.7,63.7,38,none,0.0,0.269,0,-1,21.839,0.031,0.840,22.710,96.30,0.1598,dense,1,0,ok
split,1788874357,Tesla_P100-PCIE-12GB,11050,split,fp64,1,8192,15,3,381.77,381.77,24.55,21.094,1328,1328,715,81.7,85.5,38,none,1.0,0.537,0,-1,43.626,0.034,1.406,45.066,96.88,0.09544,dense,1,0,ok
split,1788874358,Tesla_P100-PCIE-12GB,11050,split,bf16,1,8192,15,3,198.97,198.97,12.80,10.119,1328,1328,715,57.7,57.7,38,none,0.0,0.134,0,-1,10.940,0.024,0.675,11.638,94.20,0.199,dense,1,0,ok
split,1788874360,Tesla_P100-PCIE-12GB,11050,split,fp32,1,16384,15,3,375.22,375.22,24.13,42.924,1328,1328,715,110.8,126.8,38,none,18.0,1.074,0,-1,87.197,0.039,2.862,90.097,96.82,0.1876,dense,1,0,ok
split,1788874360,Tesla_P100-PCIE-12GB,11050,split,fp64,1,16384,15,3,185.56,185.56,11.93,173.594,1328,1328,715,124.8,128.1,39,none,92.9,2.148,0,-1,174.257,0.042,11.573,185.872,93.77,0.04639,dense,1,0,ok
split,1788874362,Tesla_P100-PCIE-12GB,11050,split,bf16,1,16384,15,3,255.67,255.67,16.44,31.498,1328,1328,715,98.5,121.5,38,none,4.0,0.537,0,-1,43.618,0.038,2.100,45.756,95.41,0.2557,dense,1,0,ok
split,1788874371,Tesla_P100-PCIE-12GB,11050,split,fp32,1,32768,15,3,98.40,98.40,6.33,654.695,1328,1328,715,97.6,102.8,38,none,100.0,4.295,0,-1,348.527,0.030,43.646,392.204,88.87,0.0492,dense,1,0,ok
split,1788874372,Tesla_P100-PCIE-12GB,11050,split,fp64,1,32768,15,3,181.75,181.75,11.69,708.922,1328,1328,715,122.1,135.4,39,none,100.0,8.590,0,-1,698.529,0.041,47.261,745.832,93.66,0.04544,dense,1,0,ok
