tag,ts,host,cudart,mode,precision,gpus,N,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,status
split,1788874525,Tesla_P100-PCIE-12GB,11050,split,fp32,1,33554432,20,5,415.48,415.48,26.719,19.383,1328,1328,715,73.0,95.1,33,none,10.0,0.403,1,5.79e-08,22.386,11.140,0.969,34.495,97.2,ok
split,1788874526,Tesla_P100-PCIE-12GB,11050,split,fp64,1,33554432,20,5,417.01,417.01,26.817,38.623,1328,1328,715,84.3,92.4,33,none,4.0,0.805,1,-1,44.242,22.337,1.931,68.510,97.2,ok
split,1788874527,Tesla_P100-PCIE-12GB,11050,split,fp32,1,67108864,20,5,416.28,416.28,26.770,38.691,1328,1328,715,99.7,114.3,33,none,1.0,0.805,0,-1,44.824,22.318,1.935,69.076,97.2,ok
split,1788874528,Tesla_P100-PCIE-12GB,11050,split,fp64,1,67108864,20,5,417.36,417.36,26.840,77.181,1328,1328,715,93.4,96.4,33,none,44.0,1.611,0,-1,88.175,44.696,3.859,136.730,97.2,ok
split,1788874530,Tesla_P100-PCIE-12GB,11050,split,fp32,1,134217728,20,5,416.64,416.64,26.794,77.314,1328,1328,715,115.3,118.7,34,none,37.0,1.611,0,-1,88.873,44.692,3.866,137.431,97.2,ok
split,1788874531,Tesla_P100-PCIE-12GB,11050,split,fp64,1,134217728,20,5,417.63,417.63,26.857,154.262,1328,1328,715,96.1,96.7,34,none,100.0,3.221,0,-1,175.219,89.506,7.713,272.438,97.2,ok
split,1788874536,Tesla_P100-PCIE-12GB,11050,split,fp32,1,268435456,20,5,416.91,416.91,26.811,154.530,1328,1328,715,119.2,120.6,34,none,100.0,3.221,0,-1,176.035,89.477,7.727,273.238,97.2,ok
split,1788874537,Tesla_P100-PCIE-12GB,11050,split,fp64,1,268435456,20,5,417.70,417.70,26.861,308.476,1328,1328,715,97.7,97.9,34,none,100.0,6.442,0,-1,349.334,178.919,15.424,543.677,97.2,ok
split,1788874546,Tesla_P100-PCIE-12GB,11050,split,fp32,1,536870912,20,5,416.97,416.97,26.815,309.015,1328,1328,715,120.6,120.8,34,none,100.0,6.442,0,-1,350.284,179.006,15.451,544.741,97.2,ok
split,1788874549,Tesla_P100-PCIE-12GB,11050,split,fp64,1,536870912,20,5,0,0,0,0,0,0,0,0,0,0,none,0,12.885,0,-1.0,0,0,0,0,0,oom-skip
split,1788874555,Tesla_P100-PCIE-12GB,11050,split,fp32,1,1073741824,20,5,0,0,0,0,0,0,0,0,0,0,none,0,12.885,0,-1.0,0,0,0,0,0,oom-skip
split,1788874555,Tesla_P100-PCIE-12GB,11050,split,fp64,1,1073741824,20,5,0,0,0,0,0,0,0,0,0,0,none,0,25.770,0,-1.0,0,0,0,0,0,oom-skip
replicas,1788874557,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,33554432,20,5,416.77,416.77,26.802,19.323,1189,1189,715,75.0,80.3,33,none,22.8,0.403,0,-1,23.488,11.128,0.966,35.583,97.3,ok
replicas,1788874558,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,33554432,20,5,418.12,418.12,26.889,38.520,1189,1189,715,72.1,82.0,33,none,0.0,0.805,0,-1,44.254,22.335,1.926,68.515,97.2,ok
replicas,1788874560,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,67108864,20,5,416.41,416.41,26.779,38.678,1316,1316,715,94.9,107.1,33,none,0.0,0.805,0,-1,44.791,22.317,1.934,69.042,97.2,ok
replicas,1788874560,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,67108864,20,5,417.37,417.37,26.841,77.179,1328,1328,715,91.9,95.8,33,none,40.0,1.611,0,-1,88.067,44.650,3.859,136.576,97.2,ok
replicas,1788874562,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,134217728,20,5,416.69,416.69,26.797,77.305,1328,1328,715,114.8,118.7,33,none,32.0,1.611,0,-1,88.856,44.620,3.865,137.342,97.2,ok
replicas,1788874563,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,134217728,20,5,417.65,417.65,26.858,154.256,1328,1328,715,97.0,97.6,33,none,95.7,3.221,0,-1,175.093,89.508,7.713,272.314,97.2,ok
replicas,1788874568,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,268435456,20,5,416.87,416.87,26.808,154.543,1328,1328,715,119.8,120.3,34,none,100.0,3.221,0,-1,175.812,89.521,7.727,273.060,97.2,ok
replicas,1788874569,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,268435456,20,5,417.72,417.72,26.863,308.459,1328,1328,715,97.7,97.9,34,none,100.0,6.442,0,-1,349.319,178.956,15.423,543.698,97.2,ok
replicas,1788874578,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,536870912,20,5,416.96,416.96,26.814,309.022,1328,1328,715,120.4,120.8,34,none,100.0,6.442,0,-1,349.997,178.917,15.451,544.364,97.2,ok
replicas,1788874581,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,536870912,20,5,0,0,0,0,0,0,0,0,0,0,none,0,12.885,0,-1.0,0,0,0,0,0,oom-skip
replicas,1788874587,Tesla_P100-PCIE-12GB,11050,replicas,fp32,1,1073741824,20,5,0,0,0,0,0,0,0,0,0,0,none,0,12.885,0,-1.0,0,0,0,0,0,oom-skip
replicas,1788874587,Tesla_P100-PCIE-12GB,11050,replicas,fp64,1,1073741824,20,5,0,0,0,0,0,0,0,0,0,0,none,0,25.770,0,-1.0,0,0,0,0,0,oom-skip
