tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_tflops,per_gpu_tflops,agg_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,symbolic_ms,e2e_ms,density_a,nnz_a,density_b,nnz_b,nnz_c,flops_theoretical,status
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp32,1,512,10,3,0.000,0.000,0.630,0.041,2.341,1328,1328,715,35.3,35.3,33,none,7.0,0.000,1,-1,0.045,0.000,0.234,0.408,0.280,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp64,1,512,10,3,0.000,0.000,0.620,0.040,3.521,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.104,0.000,0.352,0.594,0.456,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp32,1,512,10,3,0.002,0.002,4.469,0.287,3.910,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.138,0.000,0.391,0.685,0.529,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp64,1,512,10,3,0.002,0.002,7.185,0.462,3.644,0,0,0,0.0,0.0,0,none,0.0,0.000,1,-1,0.091,0.000,0.364,0.541,0.455,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp32,1,512,10,3,0.005,0.005,5.006,0.322,5.000,0,0,0,0.0,0.0,0,none,0.0,0.001,1,-1,0.133,0.000,0.500,0.721,0.633,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp64,1,512,10,3,0.005,0.005,7.623,0.490,4.922,0,0,0,0.0,0.0,0,none,0.0,0.001,1,-1,0.101,0.000,0.492,0.709,0.593,0.100,26112,0.100,26112,259925,26843545.600,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp32,1,512,10,3,0.011,0.011,2.126,0.137,14.827,1328,1328,715,80.4,90.5,33,none,13.0,0.002,1,-1,0.297,0.000,1.483,1.709,1.780,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp64,1,512,10,3,0.007,0.007,2.010,0.129,23.503,1328,1328,715,85.3,85.3,33,none,13.0,0.002,1,-1,0.385,0.000,2.350,2.666,2.735,0.250,65536,0.250,65536,262144,167772160.000,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp32,1,512,10,3,0.012,0.012,0.756,0.049,55.591,1328,1328,715,107.6,113.5,33,none,40.2,0.003,1,-1,0.591,0.000,5.559,5.874,6.150,0.500,131072,0.500,131072,262144,671088640.000,ok
split,1788874590,Tesla_P100-PCIE-12GB,11050,split,fp64,1,512,10,3,0.009,0.009,0.868,0.056,72.533,1328,1328,715,105.7,108.3,34,none,81.0,0.005,1,-1,3.552,0.000,7.253,8.580,10.806,0.500,131072,0.500,131072,262144,671088640.000,ok
