tag,ts,host,cudart,mode,precision,gpus,M,N,K,iters,warmup,agg_tflops,per_gpu_tflops,pct_peak,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,fp64_tensor,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,h2d_gbps,d2h_gbps,eff_tflops,transfer_pct,engine,density,nnz,status
split,1788841997,Tesla_V100-SXM2-16GB,12000,split,fp32,1,512,512,512,15,3,7.91,7.91,40.57,0.509,1312,1312,877,65.9,65.9,48,none,3.0,0.003,0,1,5.45e-06,0.271,0.198,0.034,0.503,7.7,5.3,0.534,93.3,dense,1,262144,ok
split,1788841997,Tesla_V100-SXM2-16GB,12000,split,fp32,2,512,512,512,15,3,11.08,5.54,28.40,0.364,1312,1312,877,60.5,63.4,49,none,0.5,0.002,0,1,3.12e-05,0.227,0.082,0.024,0.333,6.9,6.4,0.805,92.7,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp32,3,512,512,512,15,3,9.12,3.04,15.60,0.441,1312,1312,877,59.7,64.9,49,none,0.3,0.002,0,1,0.000103,0.198,0.057,0.022,0.276,7.1,6.2,0.973,92.2,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp32,4,512,512,512,15,3,13.06,3.27,16.75,0.308,1312,1312,877,58.3,63.0,49,none,0.2,0.002,0,1,0.000196,0.165,0.068,0.017,0.250,7.9,3.8,1.073,93.3,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,1,512,512,512,15,3,1.92,1.92,19.76,2.101,1312,1312,877,63.0,63.0,49,none,0.0,0.006,0,1,0,0.513,0.306,0.140,0.959,8.2,6.9,0.280,85.4,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,2,512,512,512,15,3,2.42,1.21,12.47,1.665,1312,1312,877,71.2,71.2,49,none,0.0,0.004,0,1,0,0.385,0.185,0.111,0.681,8.2,5.7,0.394,83.7,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,3,512,512,512,15,3,2.40,0.80,8.23,1.680,1312,1312,877,64.7,71.2,49,none,0.3,0.003,0,1,0,0.631,0.133,0.104,0.868,4.4,5.3,0.309,88.1,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,4,512,512,512,15,3,2.60,0.65,6.69,1.550,1312,1312,877,61.7,68.8,49,none,2.2,0.003,0,1,0,0.343,0.095,0.103,0.542,7.6,5.5,0.496,81.0,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,1,512,512,512,15,3,3.03,3.03,0.97,1.329,1312,1312,877,67.8,67.8,49,none,0.0,0.002,0,1,2e-06,0.161,0.160,0.089,0.409,6.5,6.6,0.656,78.3,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,2,512,512,512,15,3,3.88,1.94,0.62,1.037,1312,1312,877,64.2,67.8,49,none,2.5,0.001,0,1,4.95e-06,0.120,0.072,0.069,0.262,6.5,7.2,1.025,73.6,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,3,512,512,512,15,3,3.89,1.30,0.42,1.036,1312,1312,877,62.1,67.8,49,none,1.7,0.001,0,1,2.18e-05,0.115,0.059,0.069,0.243,6.1,5.9,1.105,71.6,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,4,512,512,512,15,3,3.95,0.99,0.32,1.020,1312,1312,877,60.4,67.8,49,none,2.2,0.001,0,1,4.49e-05,0.095,0.056,0.068,0.219,6.9,4.7,1.228,69.0,dense,1,262144,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp32,1,1024,1024,1024,15,3,10.70,10.70,54.85,3.012,1312,1312,877,82.9,82.9,49,none,17.0,0.013,0,1,3.59e-05,1.045,0.690,0.201,1.936,8.0,6.1,1.109,89.6,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp32,2,1024,1024,1024,15,3,19.62,9.81,50.32,1.641,1312,1312,877,97.9,116.8,49,none,11.0,0.008,0,1,9.8e-06,1.333,0.621,0.109,2.063,4.7,3.4,1.041,94.7,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp32,3,1024,1024,1024,15,3,25.01,8.34,42.74,1.288,1312,1312,877,91.6,116.8,49,none,10.0,0.007,0,1,9.61e-05,1.356,0.365,0.084,1.805,4.1,3.8,1.190,95.4,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp32,4,1024,1024,1024,15,3,36.24,9.06,46.46,0.889,1312,1312,877,72.4,83.3,49,none,8.5,0.006,0,1,0.000772,1.430,0.289,0.059,1.778,3.7,3.6,1.208,96.7,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,1,1024,1024,1024,15,3,3.06,3.06,31.56,10.524,1312,1312,877,91.8,124.5,49,none,17.0,0.025,0,1,0,2.039,1.492,0.702,4.233,8.2,5.6,0.507,83.4,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,2,1024,1024,1024,15,3,6.79,3.39,34.98,4.747,1312,1312,877,106.6,124.5,49,none,16.0,0.017,0,1,0,1.492,0.726,0.315,2.534,8.4,5.8,0.848,87.6,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,3,1024,1024,1024,15,3,7.10,2.37,24.41,4.535,1312,1312,877,90.1,115.4,49,none,13.0,0.014,0,1,0,2.906,1.114,0.301,4.321,3.8,2.5,0.497,93.0,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp64,4,1024,1024,1024,15,3,7.13,1.78,18.36,4.521,1312,1312,877,79.4,92.1,49,none,15.5,0.013,0,1,0,2.400,1.201,0.301,3.903,4.4,1.7,0.550,92.3,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,1,1024,1024,1024,15,3,7.91,7.91,2.53,4.073,1312,1312,877,89.2,89.2,49,none,36.0,0.008,0,1,1.33e-05,0.532,0.710,0.272,1.514,7.9,5.9,1.418,82.1,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,2,1024,1024,1024,15,3,13.37,6.69,2.14,2.408,1312,1312,877,90.8,97.8,49,none,25.0,0.005,0,1,3.84e-06,0.398,0.363,0.160,0.921,7.9,5.8,2.332,82.6,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,3,1024,1024,1024,15,3,13.32,4.44,1.42,2.419,1312,1312,877,77.9,91.1,49,none,22.7,0.004,0,1,0.00462,0.359,0.560,0.161,1.080,7.8,2.5,1.989,85.1,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,bf16,4,1024,1024,1024,15,3,13.30,3.32,1.07,2.423,1312,1312,877,74.4,91.1,49,none,18.0,0.004,0,1,8.63e-05,0.630,0.437,0.131,1.197,4.2,2.4,1.794,89.1,dense,1,1048576,ok
split,1788841998,Tesla_V100-SXM2-16GB,12000,split,fp32,1,2048,2048,2048,15,3,12.71,12.71,65.18,20.275,1312,1312,877,148.6,187.7,50,none,19.0,0.050,0,1,2.32e-05,4.078,2.884,1.352,8.314,8.2,5.8,2.066,83.7,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,fp32,2,2048,2048,2048,15,3,24.48,12.24,62.77,10.527,1312,1312,877,129.9,143.7,50,none,23.8,0.034,0,1,4.15e-05,5.489,1.478,0.702,7.669,4.6,5.7,2.240,90.8,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,fp32,3,2048,2048,2048,15,3,34.68,11.56,59.28,7.431,1312,1312,877,127.3,159.4,50,none,17.0,0.028,0,1,0.000154,5.862,2.764,0.495,9.121,3.8,2.0,1.883,94.6,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,fp32,4,2048,2048,2048,15,3,45.61,11.40,58.47,5.650,1312,1312,877,127.4,142.6,50,none,11.5,0.025,0,1,4.6e-05,6.955,2.917,0.377,10.249,3.0,1.4,1.676,96.3,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,fp64,1,2048,2048,2048,15,3,4.50,4.50,46.37,57.289,1447,1447,877,222.4,248.7,52,none,61.0,0.101,0,1,0,8.161,5.528,3.819,17.508,8.2,6.1,0.981,78.2,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,fp64,2,2048,2048,2048,15,3,7.18,3.59,37.00,35.905,1375,1447,877,158.3,214.5,51,none,40.7,0.067,0,1,0,9.341,2.762,2.204,14.306,5.4,6.1,1.201,84.6,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,fp64,3,2048,2048,2048,15,3,10.45,3.48,35.91,24.660,1385,1530,877,148.0,216.1,51,none,41.9,0.056,0,1,0,12.526,4.797,1.644,18.967,3.6,2.3,0.906,91.3,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,fp64,4,2048,2048,2048,15,3,12.01,3.00,30.97,21.449,1366,1530,877,126.7,156.8,51,none,33.5,0.050,0,1,0,13.691,4.131,1.430,19.252,3.1,2.0,0.892,92.6,dense,1,4194304,ok
split,1788841999,Tesla_V100-SXM2-16GB,12000,split,bf16,1,2048,2048,2048,15,3,10.73,10.73,3.44,24.014,1530,1530,877,217.1,260.3,51,none,82.0,0.034,0,1,1.74e-05,2.085,2.848,1.601,6.533,8.0,5.9,2.630,75.5,dense,1,4194304,ok
