tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,agg_tflops,engine,density,nnz,status
split,1788844781,Tesla_V100-SXM2-16GB,12000,split,fp32,1,512,15,3,155.15,155.15,9.98,0.101,1530,1530,877,80.9,80.9,62,none,0.0,0.001,1,1.12e-05,0.157,0.020,0.007,0.184,96.32,0.07758,dense,1,0,ok
split,1788844781,Tesla_V100-SXM2-16GB,12000,split,fp32,2,512,15,3,101.72,50.86,3.27,0.155,1530,1530,877,75.3,80.4,62,none,0.0,0.001,1,0.000114,0.085,0.016,0.010,0.111,90.71,0.05086,dense,1,0,ok
split,1788844781,Tesla_V100-SXM2-16GB,12000,split,fp32,3,512,15,3,74.93,24.98,1.61,0.210,1530,1530,877,73.3,80.4,62,none,0.0,0.000,1,0.000114,0.068,0.026,0.014,0.107,86.96,0.03746,dense,1,0,ok
split,1788844781,Tesla_V100-SXM2-16GB,12000,split,fp32,4,512,15,3,114.63,28.66,1.84,0.137,1530,1530,877,71.6,79.9,62,none,0.5,0.000,1,0.000114,0.051,0.023,0.009,0.083,89.08,0.05731,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,1,512,15,3,313.47,313.47,20.16,0.100,1530,1530,877,80.4,80.4,62,none,0.0,0.002,1,0,0.291,0.021,0.007,0.318,97.90,0.07837,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,2,512,15,3,149.85,74.93,4.82,0.210,1530,1530,877,75.1,80.4,62,none,0.0,0.001,1,0,0.154,0.020,0.014,0.187,92.52,0.03746,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,3,512,15,3,149.13,49.71,3.20,0.211,1530,1530,877,73.4,80.4,62,none,0.0,0.001,1,0,0.124,0.015,0.014,0.152,90.76,0.03728,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,4,512,15,3,130.17,32.54,2.09,0.242,1530,1530,877,71.8,80.4,62,none,0.8,0.001,1,0,0.089,0.017,0.015,0.121,87.77,0.03254,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,1,512,15,3,38.98,38.98,2.51,0.202,1530,1530,877,80.4,80.4,62,none,0.0,0.001,1,4.37e-06,0.085,0.022,0.013,0.120,88.84,0.03898,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,2,512,15,3,29.65,14.83,0.95,0.265,1530,1530,877,75.1,80.4,62,none,0.5,0.000,1,3.79e-05,0.067,0.015,0.015,0.097,84.52,0.02965,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,3,512,15,3,36.40,12.13,0.78,0.216,1530,1530,877,72.9,79.9,62,none,0.7,0.000,1,2.54e-05,0.041,0.015,0.014,0.070,79.49,0.0364,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,4,512,15,3,25.35,6.34,0.41,0.310,1530,1530,877,71.6,80.4,62,none,0.8,0.000,1,3.79e-05,0.040,0.016,0.018,0.074,75.67,0.02535,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,1,1024,15,3,503.61,503.61,32.39,0.125,1312,1312,877,70.2,70.2,61,none,3.0,0.004,1,9.13e-05,0.620,0.014,0.008,0.643,98.70,0.2518,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,2,1024,15,3,495.48,247.74,15.93,0.127,1421,1530,877,70.0,70.2,61,none,2.0,0.002,1,0.000262,0.557,0.015,0.008,0.581,98.54,0.2477,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,3,1024,15,3,491.52,163.84,10.54,0.128,1457,1530,877,68.7,69.7,61,none,1.7,0.001,1,1.74e-05,0.305,0.021,0.009,0.335,97.45,0.2458,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,4,1024,15,3,429.65,107.41,6.91,0.146,1476,1530,877,68.1,69.7,61,none,1.8,0.001,1,0.000262,0.177,0.016,0.009,0.202,95.37,0.2148,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,1,1024,15,3,546.13,546.13,35.12,0.230,1312,1312,877,68.3,68.3,61,none,3.0,0.008,1,0,1.259,0.015,0.015,1.290,98.81,0.1365,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,2,1024,15,3,903.53,451.76,29.05,0.139,1421,1530,877,68.5,70.2,61,none,2.5,0.004,1,0,0.985,0.034,0.009,1.028,99.10,0.2259,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,3,1024,15,3,636.68,212.23,13.65,0.198,1457,1530,877,68.9,70.2,61,none,2.0,0.003,1,0,0.780,0.015,0.008,0.803,98.98,0.1592,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,4,1024,15,3,835.92,208.98,13.44,0.151,1476,1530,877,68.1,69.7,61,none,2.2,0.002,1,2.38e-16,0.432,0.015,0.008,0.456,98.17,0.209,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,1,1024,15,3,125.90,125.90,8.10,0.250,1312,1312,877,66.3,66.3,61,none,5.0,0.002,1,1.68e-05,0.325,0.015,0.017,0.356,95.33,0.1259,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,2,1024,15,3,118.15,59.08,3.80,0.266,1421,1530,877,68.5,70.2,61,none,3.5,0.001,1,8.44e-05,0.182,0.021,0.017,0.221,92.14,0.1182,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,3,1024,15,3,101.72,33.91,2.18,0.309,1457,1530,877,68.7,69.7,61,none,3.0,0.001,1,1.16e-05,0.123,0.016,0.021,0.160,87.09,0.1017,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,bf16,4,1024,15,3,113.36,28.34,1.82,0.278,1476,1530,877,68.3,69.7,61,none,2.8,0.001,1,2.09e-05,0.096,0.022,0.019,0.136,86.41,0.1134,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,1,2048,15,3,657.11,657.11,42.26,0.383,1312,1312,877,66.8,66.8,61,none,2.0,0.017,1,5.56e-05,2.376,0.015,0.026,2.417,98.94,0.3286,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,2,2048,15,3,1159.25,579.62,37.27,0.217,1421,1530,877,70.7,73.2,61,none,2.5,0.008,1,1.65e-05,2.248,0.021,0.014,2.284,99.37,0.5796,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,3,2048,15,3,1127.34,375.78,24.17,0.223,1457,1530,877,70.2,72.2,61,none,2.3,0.006,1,1.23e-05,2.119,0.015,0.009,2.143,99.59,0.5637,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp32,4,2048,15,3,1730.70,432.68,27.82,0.145,1476,1530,877,68.7,70.7,61,none,2.2,0.004,1,6.15e-05,1.292,0.015,0.008,1.314,99.40,0.8654,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,1,2048,15,3,746.99,746.99,48.04,0.674,1312,1312,877,69.7,69.7,61,none,2.0,0.034,1,6.18e-16,4.863,0.017,0.045,4.925,99.09,0.1867,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,2,2048,15,3,1314.22,657.11,42.26,0.383,1421,1530,877,69.9,71.6,61,none,7.0,0.017,1,1.3e-15,4.329,0.021,0.026,4.376,99.42,0.3286,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,3,2048,15,3,1616.84,538.95,34.66,0.311,1457,1530,877,69.7,71.6,61,none,5.7,0.011,1,1.3e-15,4.201,0.022,0.021,4.244,99.51,0.4042,dense,1,0,ok
split,1788844782,Tesla_V100-SXM2-16GB,12000,split,fp64,4,2048,15,3,1840.90,460.22,29.60,0.273,1476,1530,877,69.5,71.6,61,none,3.8,0.008,1,8.87e-16,3.643,0.022,0.018,3.684,99.51,0.4602,dense,1,0,ok
split,1788844783,Tesla_V100-SXM2-16GB,12000,split,bf16,1,2048,15,3,529.66,529.66,34.06,0.238,1312,1312,877,67.3,67.3,61,none,9.0,0.008,1,2.12e-05,1.182,0.036,0.016,1.234,98.72,0.5297,dense,1,0,ok
split,1788844783,Tesla_V100-SXM2-16GB,12000,split,bf16,2,2048,15,3,512.00,256.00,16.46,0.246,1421,1530,877,68.5,70.2,61,none,7.0,0.004,1,8.69e-06,1.053,0.022,0.016,1.092,98.50,0.512,dense,1,0,ok
split,1788844783,Tesla_V100-SXM2-16GB,12000,split,bf16,3,2048,15,3,378.09,126.03,8.10,0.333,1457,1530,877,68.7,70.1,61,none,6.7,0.003,1,7.51e-06,0.887,0.022,0.022,0.932,97.62,0.3781,dense,1,0,ok
