tag,ts,host,cudart,mode,precision,gpus,N,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,status
split,1788845165,Tesla_V100-SXM2-16GB,12000,split,fp32,1,33554432,20,5,824.96,824.96,53.052,9.762,1530,1530,877,95.9,95.9,45,none,0.0,0.403,1,5.79e-08,34.010,26.572,0.488,61.070,99.2,ok
split,1788845165,Tesla_V100-SXM2-16GB,12000,split,fp32,2,33554432,20,5,1641.48,820.74,52.781,4.906,1530,1530,877,85.7,94.5,45,none,14.0,0.201,1,5.93e-08,20.307,14.801,0.245,35.353,99.3,ok
split,1788845166,Tesla_V100-SXM2-16GB,12000,split,fp32,3,33554432,20,5,2431.76,810.59,52.128,3.312,1530,1530,877,91.1,102.1,45,none,13.0,0.134,1,5.96e-08,20.778,11.332,0.166,32.276,99.5,ok
split,1788845166,Tesla_V100-SXM2-16GB,12000,split,fp32,4,33554432,20,5,3194.28,798.57,51.355,2.521,1476,1530,877,83.0,88.2,45,none,10.8,0.101,1,5.93e-08,27.142,8.115,0.125,35.382,99.6,ok
split,1788845167,Tesla_V100-SXM2-16GB,12000,split,fp64,1,33554432,20,5,841.28,841.28,54.102,19.145,1530,1530,877,123.8,128.4,45,none,19.0,0.805,1,-1,71.675,43.473,0.957,116.105,99.2,ok
split,1788845168,Tesla_V100-SXM2-16GB,12000,split,fp64,2,33554432,20,5,1676.47,838.23,53.906,9.607,1530,1530,877,102.3,126.4,45,none,8.0,0.403,1,933,62.300,36.905,0.480,99.685,99.5,ok
split,1788845169,Tesla_V100-SXM2-16GB,12000,split,fp64,3,33554432,20,5,2508.15,836.05,53.765,6.422,1530,1530,877,90.7,95.8,45,none,3.3,0.268,1,182,61.221,34.762,0.321,96.304,99.7,ok
split,1788845169,Tesla_V100-SXM2-16GB,12000,split,fp64,4,33554432,20,5,3324.59,831.15,53.450,4.845,1476,1530,877,86.6,98.7,45,none,16.5,0.201,1,308,59.732,28.705,0.242,88.680,99.7,ok
split,1788845171,Tesla_V100-SXM2-16GB,12000,split,fp32,1,67108864,20,5,828.35,828.35,53.270,19.444,1530,1530,877,132.8,136.6,46,none,21.0,0.805,0,-1,67.016,43.431,0.972,111.419,99.1,ok
split,1788845171,Tesla_V100-SXM2-16GB,12000,split,fp32,2,67108864,20,5,1646.46,823.23,52.941,9.782,1530,1530,877,110.4,147.7,45,none,30.0,0.403,0,-1,66.582,38.894,0.489,105.965,99.5,ok
