tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_tflops,per_gpu_tflops,agg_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,symbolic_ms,e2e_ms,density_a,nnz_a,density_b,nnz_b,nnz_c,flops_theoretical,status
split,1788845545,Tesla_V100-SXM2-16GB,12000,split,fp32,1,512,10,3,0.000,0.000,0.942,0.061,1.567,1530,1530,877,69.7,69.7,44,none,1.0,0.000,1,-1,0.047,0.000,0.157,22.850,0.204,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845545,Tesla_V100-SXM2-16GB,12000,split,fp32,2,512,10,3,0.000,0.000,0.636,0.020,2.676,1421,1530,877,62.7,69.3,44,none,2.0,0.000,1,-1,0.033,0.000,0.268,0.392,0.300,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp32,3,512,10,3,0.000,0.000,0.712,0.015,2.705,1457,1530,877,64.4,69.3,44,none,0.7,0.000,1,-1,0.052,0.000,0.271,0.423,0.323,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp32,4,512,10,3,0.000,0.000,0.800,0.013,2.690,1476,1530,877,64.6,69.3,44,none,0.8,0.000,1,-1,0.052,0.000,0.269,0.504,0.321,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp64,1,512,10,3,0.000,0.000,1.359,0.087,1.606,1530,1530,877,69.3,69.3,44,none,1.0,0.000,1,-1,0.050,0.000,0.161,0.690,0.211,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp64,2,512,10,3,0.000,0.000,1.462,0.047,1.717,1421,1530,877,62.7,69.3,44,none,1.0,0.000,1,-1,0.035,0.000,0.172,0.547,0.207,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp64,3,512,10,3,0.000,0.000,1.571,0.034,1.806,1457,1530,877,64.4,69.3,44,none,0.7,0.000,1,-1,0.055,0.000,0.159,0.293,0.214,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp64,4,512,10,3,0.000,0.000,1.608,0.026,1.968,1476,1530,877,64.7,69.3,44,none,0.8,0.000,1,-1,0.044,0.000,0.197,0.396,0.240,0.010,2560,0.010,2560,12550,268435.456,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp32,1,512,10,3,0.003,0.003,6.775,0.436,2.579,1530,1530,877,73.1,73.1,44,none,1.0,0.000,1,-1,0.067,0.000,0.258,0.473,0.325,0.050,13312,0.050,13312,191059,6710886.400,ok
split,1788845546,Tesla_V100-SXM2-16GB,12000,split,fp32,2,512,10,3,0.003,0.001,7.766,0.250,2.390,1421,1530,877,65.3,73.1,44,none,3.5,0.000,1,-1,0.079,0.000,0.239,0.650,0.318,0.050,13312,0.050,13312,191059,6710886.400,ok
