tag,ts,host,cudart,mode,precision,gpus,S,iters,warmup,agg_gbps,per_gpu_gbps,pct_peak_bw,wall_ms,sm_mhz_avg,sm_mhz_max,mem_mhz_avg,power_w_avg,power_w_max,temp_c_max,throttle,util_pct_avg,mem_gb_per_gpu,validated,max_rel_err,h2d_ms,d2h_ms,compute_ms,e2e_ms,transfer_pct,agg_tflops,engine,density,nnz,status
split,1783925041,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,1,512,15,3,178.60,178.60,11.49,0.088,1095,1095,1215,55.5,55.5,25,none,3.0,0.001,1,1.12e-05,0.435,0.021,0.006,0.462,98.73,0.0893,dense,1,0,ok
split,1783925041,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,2,512,15,3,161.68,80.84,5.20,0.097,1095,1095,1215,55.6,55.7,25,none,3.0,0.001,1,3.03e-05,0.203,0.011,0.006,0.219,97.44,0.08084,dense,1,0,ok
split,1783925041,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,3,512,15,3,101.72,33.91,2.18,0.155,1095,1095,1215,55.3,55.9,25,none,2.0,0.000,1,4.73e-05,0.145,0.013,0.010,0.168,93.86,0.05086,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,4,512,15,3,67.96,16.99,1.09,0.231,1095,1095,1215,55.6,57.5,25,none,0.8,0.000,1,0.000136,0.095,0.015,0.015,0.125,87.96,0.03398,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,1,512,15,3,326.81,326.81,21.02,0.096,1095,1095,1215,55.5,55.5,25,none,0.0,0.002,1,0,0.830,0.024,0.006,0.861,99.25,0.0817,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,2,512,15,3,224.23,112.12,7.21,0.140,1095,1095,1215,55.1,55.5,25,none,0.0,0.001,1,0,0.474,0.012,0.009,0.496,98.14,0.05606,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,3,512,15,3,107.41,35.80,2.30,0.293,1095,1095,1215,55.0,55.5,25,none,0.0,0.001,1,0,0.358,0.012,0.009,0.379,97.64,0.02685,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,4,512,15,3,234.50,58.63,3.77,0.134,1095,1095,1215,55.6,57.5,25,none,0.0,0.001,1,0,0.232,0.012,0.009,0.252,96.48,0.05863,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,1,512,15,3,74.56,74.56,4.80,0.105,1095,1095,1215,55.5,55.5,25,none,0.0,0.001,1,8.11e-06,0.223,0.027,0.007,0.257,97.26,0.07456,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,2,512,15,3,39.18,19.59,1.26,0.201,1095,1095,1215,55.1,55.5,25,none,0.0,0.000,1,4.65e-05,0.133,0.012,0.013,0.159,91.57,0.03918,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,3,512,15,3,52.24,17.41,1.12,0.151,1095,1095,1215,54.9,55.5,25,none,1.0,0.000,1,4.65e-05,0.087,0.042,0.010,0.139,92.79,0.05224,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,bf16,4,512,15,3,51.89,12.97,0.83,0.152,1095,1095,1215,54.8,55.5,25,none,2.5,0.000,1,4.65e-05,0.072,0.012,0.006,0.090,93.08,0.05189,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,1,1024,15,3,585.14,585.14,37.63,0.108,1095,1095,1215,55.5,55.5,25,none,4.0,0.004,1,5.62e-05,1.672,0.014,0.007,1.693,99.58,0.2926,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,2,1024,15,3,608.32,304.16,19.56,0.103,1095,1095,1215,54.9,55.5,25,none,3.0,0.002,1,0.00029,0.905,0.011,0.007,0.923,99.25,0.3042,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,3,1024,15,3,345.17,115.06,7.40,0.182,1095,1095,1215,54.9,55.5,25,none,2.3,0.001,1,8.29e-06,0.832,0.011,0.012,0.855,98.64,0.1726,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp32,4,1024,15,3,361.41,90.35,5.81,0.174,1095,1095,1215,54.8,55.5,25,none,2.5,0.001,1,5.01e-05,0.580,0.010,0.012,0.602,98.07,0.1807,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,1,1024,15,3,896.93,896.93,57.68,0.140,1095,1095,1215,55.5,55.5,25,none,4.0,0.008,1,0,3.315,0.018,0.009,3.342,99.72,0.2242,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,2,1024,15,3,1087.43,543.72,34.97,0.116,1095,1095,1215,55.2,55.5,25,none,3.0,0.004,1,0,3.195,0.012,0.008,3.214,99.76,0.2719,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,3,1024,15,3,1041.36,347.12,22.32,0.121,1095,1095,1215,55.2,55.5,25,none,2.3,0.003,1,0,2.155,0.010,0.007,2.172,99.69,0.2603,dense,1,0,ok
split,1783925042,node0.a100.isolateedinburgh-pg0.wisc.cloudlab.us,12090,split,fp64,4,1024,15,3,1266.80,316.70,20.37,0.099,1095,1095,1215,55.0,55.5,25,none,2.5,0.002,1,2.38e-16,1.718,0.014,0.007,1.739,99.62,0.3167,dense,1,0,ok
